1/29, 19:25:51, vial:6
2/29, 19:26:08, vial:23
3/29, 19:26:26, vial:2
4/29, 19:26:43, vial:27
5/29, 19:27:01, vial:31
6/29, 19:27:19, vial:16
7/29, 19:27:36, vial:11
8/29, 19:27:54, vial:28
9/29, 19:28:11, vial:3
10/29, 19:28:29, vial:29
11/29, 19:28:46, vial:21
12/29, 19:29:04, vial:20
13/29, 19:29:21, vial:12
14/29, 19:29:39, vial:9
15/29, 19:29:57, vial:17
16/29, 19:30:14, vial:15
17/29, 19:30:32, vial:14
18/29, 19:30:49, vial:10
19/29, 19:31:07, vial:18
20/29, 19:31:24, vial:19
21/29, 19:31:42, vial:30
22/29, 19:31:59, vial:32
23/29, 19:32:17, vial:8
24/29, 19:32:35, vial:26
25/29, 19:32:52, vial:5
26/29, 19:33:10, vial:24
27/29, 19:33:27, vial:25
28/29, 19:33:45, vial:7
29/29, 19:34:02, vial:13
